source,metaedge,target,source_name,target_name,kind_of_source,kind_of_target
Disease::DOID:0050156,Disease - upregulates - Gene,Gene::23452,idiopathic pulmonary fibrosis,ANGPTL2,Disease,Gene
Disease::DOID:2986,Disease - upregulates - Gene,Gene::5985,IgA glomerulonephritis,RFC5,Disease,Gene
Disease::DOID:2531,Disease - upregulates - Gene,Gene::6772,hematologic cancer,STAT1,Disease,Gene
Disease::DOID:8893,Disease - upregulates - Gene,Gene::1673,psoriasis,DEFB4A,Disease,Gene
Disease::DOID:219,Disease - upregulates - Gene,Gene::8818,colon cancer,DPM2,Disease,Gene
Disease::DOID:9008,Disease - upregulates - Gene,Gene::79712,psoriatic arthritis,GTDC1,Disease,Gene
Disease::DOID:1909,Disease - upregulates - Gene,Gene::30001,melanoma,ERO1L,Disease,Gene
Disease::DOID:8778,Disease - upregulates - Gene,Gene::339122,Crohn's disease,RAB43,Disease,Gene
Disease::DOID:219,Disease - upregulates - Gene,Gene::5655,colon cancer,KLK10,Disease,Gene
Disease::DOID:3083,Disease - upregulates - Gene,Gene::283454,chronic obstructive pulmonary disease,LOC283454,Disease,Gene
Disease::DOID:1793,Disease - upregulates - Gene,Gene::22925,pancreatic cancer,PLA2R1,Disease,Gene
Disease::DOID:0050741,Disease - upregulates - Gene,Gene::7284,alcohol dependence,TUFM,Disease,Gene
Disease::DOID:635,Disease - upregulates - Gene,Gene::6713,acquired immunodeficiency syndrome,SQLE,Disease,Gene
Disease::DOID:12365,Disease - upregulates - Gene,Gene::2081,malaria,ERN1,Disease,Gene
Disease::DOID:635,Disease - upregulates - Gene,Gene::1062,acquired immunodeficiency syndrome,CENPE,Disease,Gene
Disease::DOID:8893,Disease - upregulates - Gene,Gene::6283,psoriasis,S100A12,Disease,Gene
Disease::DOID:8577,Disease - upregulates - Gene,Gene::124540,ulcerative colitis,MSI2,Disease,Gene
Disease::DOID:1612,Disease - upregulates - Gene,Gene::9645,breast cancer,MICAL2,Disease,Gene
Disease::DOID:1793,Disease - upregulates - Gene,Gene::5801,pancreatic cancer,PTPRR,Disease,Gene
Disease::DOID:7148,Disease - upregulates - Gene,Gene::3071,rheumatoid arthritis,NCKAP1L,Disease,Gene
Disease::DOID:14227,Disease - upregulates - Gene,Gene::11096,azoospermia,ADAMTS5,Disease,Gene
Disease::DOID:2986,Disease - upregulates - Gene,Gene::3703,IgA glomerulonephritis,STT3A,Disease,Gene
Disease::DOID:9206,Disease - upregulates - Gene,Gene::2195,Barrett's esophagus,FAT1,Disease,Gene
Disease::DOID:14330,Disease - upregulates - Gene,Gene::23189,Parkinson's disease,KANK1,Disease,Gene
Disease::DOID:0050156,Disease - upregulates - Gene,Gene::667,idiopathic pulmonary fibrosis,DST,Disease,Gene
Disease::DOID:2531,Disease - upregulates - Gene,Gene::11156,hematologic cancer,PTP4A3,Disease,Gene
Disease::DOID:7693,Disease - upregulates - Gene,Gene::945,abdominal aortic aneurysm,CD33,Disease,Gene
Disease::DOID:11612,Disease - upregulates - Gene,Gene::374973,polycystic ovary syndrome,TEX38,Disease,Gene
Disease::DOID:2986,Disease - upregulates - Gene,Gene::22880,IgA glomerulonephritis,MORC2,Disease,Gene
Disease::DOID:8577,Disease - upregulates - Gene,Gene::3418,ulcerative colitis,IDH2,Disease,Gene
Disease::DOID:9206,Disease - upregulates - Gene,Gene::6934,Barrett's esophagus,TCF7L2,Disease,Gene
Disease::DOID:2986,Disease - upregulates - Gene,Gene::351,IgA glomerulonephritis,APP,Disease,Gene
Disease::DOID:332,Disease - upregulates - Gene,Gene::4638,amyotrophic lateral sclerosis,MYLK,Disease,Gene
Disease::DOID:1324,Disease - upregulates - Gene,Gene::6582,lung cancer,SLC22A2,Disease,Gene
Disease::DOID:7693,Disease - upregulates - Gene,Gene::10635,abdominal aortic aneurysm,RAD51AP1,Disease,Gene
Disease::DOID:7148,Disease - upregulates - Gene,Gene::26219,rheumatoid arthritis,OR1J4,Disease,Gene
Disease::DOID:10652,Disease - upregulates - Gene,Gene::483,Alzheimer's disease,ATP1B3,Disease,Gene
Disease::DOID:13223,Disease - upregulates - Gene,Gene::2741,uterine fibroid,GLRA1,Disease,Gene
Disease::DOID:13223,Disease - upregulates - Gene,Gene::8187,uterine fibroid,ZNF239,Disease,Gene
Disease::DOID:0050156,Disease - upregulates - Gene,Gene::2217,idiopathic pulmonary fibrosis,FCGRT,Disease,Gene
Disease::DOID:219,Disease - upregulates - Gene,Gene::51006,colon cancer,SLC35C2,Disease,Gene
Disease::DOID:8778,Disease - upregulates - Gene,Gene::1051,Crohn's disease,CEBPB,Disease,Gene
Disease::DOID:10652,Disease - upregulates - Gene,Gene::286148,Alzheimer's disease,DPY19L4,Disease,Gene
Disease::DOID:3083,Disease - upregulates - Gene,Gene::56243,chronic obstructive pulmonary disease,KIAA1217,Disease,Gene
Disease::DOID:8893,Disease - upregulates - Gene,Gene::26268,psoriasis,FBXO9,Disease,Gene
Disease::DOID:11612,Disease - upregulates - Gene,Gene::10395,polycystic ovary syndrome,DLC1,Disease,Gene
Disease::DOID:418,Disease - upregulates - Gene,Gene::81619,systemic scleroderma,TSPAN14,Disease,Gene
Disease::DOID:986,Disease - upregulates - Gene,Gene::10261,alopecia areata,IGSF6,Disease,Gene
Disease::DOID:1909,Disease - upregulates - Gene,Gene::29887,melanoma,SNX10,Disease,Gene
Disease::DOID:14330,Disease - upregulates - Gene,Gene::23269,Parkinson's disease,MGA,Disease,Gene
Disease::DOID:9206,Disease - upregulates - Gene,Gene::328,Barrett's esophagus,APEX1,Disease,Gene
Disease::DOID:12365,Disease - upregulates - Gene,Gene::90459,malaria,ERI1,Disease,Gene
Disease::DOID:418,Disease - upregulates - Gene,Gene::55177,systemic scleroderma,RMDN3,Disease,Gene
Disease::DOID:2394,Disease - upregulates - Gene,Gene::23633,ovarian cancer,KPNA6,Disease,Gene
Disease::DOID:8778,Disease - upregulates - Gene,Gene::8352,Crohn's disease,HIST1H3C,Disease,Gene
Disease::DOID:7693,Disease - upregulates - Gene,Gene::399818,abdominal aortic aneurysm,METTL10,Disease,Gene
Disease::DOID:9206,Disease - upregulates - Gene,Gene::8838,Barrett's esophagus,WISP3,Disease,Gene
Disease::DOID:13223,Disease - upregulates - Gene,Gene::8363,uterine fibroid,HIST1H4J,Disease,Gene
Disease::DOID:332,Disease - upregulates - Gene,Gene::4670,amyotrophic lateral sclerosis,HNRNPM,Disease,Gene
Disease::DOID:2531,Disease - upregulates - Gene,Gene::682,hematologic cancer,BSG,Disease,Gene
Disease::DOID:9008,Disease - upregulates - Gene,Gene::29104,psoriatic arthritis,N6AMT1,Disease,Gene
Disease::DOID:8893,Disease - upregulates - Gene,Gene::94240,psoriasis,EPSTI1,Disease,Gene
Disease::DOID:7148,Disease - upregulates - Gene,Gene::10549,rheumatoid arthritis,PRDX4,Disease,Gene
Disease::DOID:1612,Disease - upregulates - Gene,Gene::2335,breast cancer,FN1,Disease,Gene
Disease::DOID:332,Disease - upregulates - Gene,Gene::29951,amyotrophic lateral sclerosis,PDZRN4,Disease,Gene
Disease::DOID:1612,Disease - upregulates - Gene,Gene::6897,breast cancer,TARS,Disease,Gene
Disease::DOID:219,Disease - upregulates - Gene,Gene::10848,colon cancer,PPP1R13L,Disease,Gene
Disease::DOID:7148,Disease - upregulates - Gene,Gene::9235,rheumatoid arthritis,IL32,Disease,Gene
Disease::DOID:2986,Disease - upregulates - Gene,Gene::23478,IgA glomerulonephritis,SEC11A,Disease,Gene
Disease::DOID:9008,Disease - upregulates - Gene,Gene::7520,psoriatic arthritis,XRCC5,Disease,Gene
Disease::DOID:13223,Disease - upregulates - Gene,Gene::54209,uterine fibroid,TREM2,Disease,Gene
Disease::DOID:11612,Disease - upregulates - Gene,Gene::56896,polycystic ovary syndrome,DPYSL5,Disease,Gene
Disease::DOID:824,Disease - upregulates - Gene,Gene::10485,periodontitis,C1orf61,Disease,Gene
Disease::DOID:219,Disease - upregulates - Gene,Gene::5725,colon cancer,PTBP1,Disease,Gene
Disease::DOID:0050742,Disease - upregulates - Gene,Gene::5321,nicotine dependence,PLA2G4A,Disease,Gene
Disease::DOID:986,Disease - upregulates - Gene,Gene::54885,alopecia areata,TBC1D8B,Disease,Gene
Disease::DOID:3083,Disease - upregulates - Gene,Gene::5660,chronic obstructive pulmonary disease,PSAP,Disease,Gene
Disease::DOID:332,Disease - upregulates - Gene,Gene::51176,amyotrophic lateral sclerosis,LEF1,Disease,Gene
Disease::DOID:2531,Disease - upregulates - Gene,Gene::23530,hematologic cancer,NNT,Disease,Gene
Disease::DOID:635,Disease - upregulates - Gene,Gene::3683,acquired immunodeficiency syndrome,ITGAL,Disease,Gene
Disease::DOID:1324,Disease - upregulates - Gene,Gene::6707,lung cancer,SPRR3,Disease,Gene
Disease::DOID:2986,Disease - upregulates - Gene,Gene::79714,IgA glomerulonephritis,CCDC51,Disease,Gene
Disease::DOID:10652,Disease - upregulates - Gene,Gene::8556,Alzheimer's disease,CDC14A,Disease,Gene
Disease::DOID:14330,Disease - upregulates - Gene,Gene::8874,Parkinson's disease,ARHGEF7,Disease,Gene
Disease::DOID:8577,Disease - upregulates - Gene,Gene::728,ulcerative colitis,C5AR1,Disease,Gene
Disease::DOID:986,Disease - upregulates - Gene,Gene::94120,alopecia areata,SYTL3,Disease,Gene
Disease::DOID:5419,Disease - upregulates - Gene,Gene::26996,schizophrenia,GPR160,Disease,Gene
Disease::DOID:7693,Disease - upregulates - Gene,Gene::4668,abdominal aortic aneurysm,NAGA,Disease,Gene
Disease::DOID:3083,Disease - upregulates - Gene,Gene::645432,chronic obstructive pulmonary disease,ARRDC5,Disease,Gene
Disease::DOID:0050742,Disease - upregulates - Gene,Gene::29926,nicotine dependence,GMPPA,Disease,Gene
Disease::DOID:7148,Disease - upregulates - Gene,Gene::6404,rheumatoid arthritis,SELPLG,Disease,Gene
Disease::DOID:3083,Disease - upregulates - Gene,Gene::338674,chronic obstructive pulmonary disease,OR5F1,Disease,Gene
Disease::DOID:7693,Disease - upregulates - Gene,Gene::84329,abdominal aortic aneurysm,HVCN1,Disease,Gene
Disease::DOID:11612,Disease - upregulates - Gene,Gene::3890,polycystic ovary syndrome,KRT84,Disease,Gene
Disease::DOID:0050742,Disease - upregulates - Gene,Gene::131544,nicotine dependence,CRYBG3,Disease,Gene
Disease::DOID:635,Disease - upregulates - Gene,Gene::8638,acquired immunodeficiency syndrome,OASL,Disease,Gene
Disease::DOID:986,Disease - upregulates - Gene,Gene::7940,alopecia areata,LST1,Disease,Gene
Disease::DOID:8577,Disease - upregulates - Gene,Gene::813,ulcerative colitis,CALU,Disease,Gene
Disease::DOID:14227,Disease - upregulates - Gene,Gene::24138,azoospermia,IFIT5,Disease,Gene
Disease::DOID:5419,Disease - upregulates - Gene,Gene::7057,schizophrenia,THBS1,Disease,Gene
Disease::DOID:332,Disease - upregulates - Gene,Gene::9627,amyotrophic lateral sclerosis,SNCAIP,Disease,Gene
Disease::DOID:2531,Disease - upregulates - Gene,Gene::977,hematologic cancer,CD151,Disease,Gene
Disease::DOID:2394,Disease - upregulates - Gene,Gene::4677,ovarian cancer,NARS,Disease,Gene
Disease::DOID:8778,Disease - upregulates - Gene,Gene::10043,Crohn's disease,TOM1,Disease,Gene
Disease::DOID:263,Disease - upregulates - Gene,Gene::1306,kidney cancer,COL15A1,Disease,Gene
Disease::DOID:7693,Disease - upregulates - Gene,Gene::4082,abdominal aortic aneurysm,MARCKS,Disease,Gene
Disease::DOID:332,Disease - upregulates - Gene,Gene::845,amyotrophic lateral sclerosis,CASQ2,Disease,Gene
Disease::DOID:263,Disease - upregulates - Gene,Gene::23092,kidney cancer,ARHGAP26,Disease,Gene
Disease::DOID:1612,Disease - upregulates - Gene,Gene::131578,breast cancer,LRRC15,Disease,Gene
Disease::DOID:2986,Disease - upregulates - Gene,Gene::23503,IgA glomerulonephritis,ZFYVE26,Disease,Gene
Disease::DOID:1909,Disease - upregulates - Gene,Gene::54436,melanoma,SH3TC1,Disease,Gene
Disease::DOID:0050156,Disease - upregulates - Gene,Gene::5066,idiopathic pulmonary fibrosis,PAM,Disease,Gene
Disease::DOID:7693,Disease - upregulates - Gene,Gene::2214,abdominal aortic aneurysm,FCGR3A,Disease,Gene
Disease::DOID:2531,Disease - upregulates - Gene,Gene::50626,hematologic cancer,CYHR1,Disease,Gene
Disease::DOID:3083,Disease - upregulates - Gene,Gene::9896,chronic obstructive pulmonary disease,FIG4,Disease,Gene
Disease::DOID:1909,Disease - upregulates - Gene,Gene::5939,melanoma,RBMS2,Disease,Gene
Disease::DOID:13223,Disease - upregulates - Gene,Gene::10927,uterine fibroid,SPIN1,Disease,Gene
Disease::DOID:2531,Disease - upregulates - Gene,Gene::5649,hematologic cancer,RELN,Disease,Gene
Disease::DOID:2986,Disease - upregulates - Gene,Gene::6582,IgA glomerulonephritis,SLC22A2,Disease,Gene
Disease::DOID:219,Disease - upregulates - Gene,Gene::51388,colon cancer,NIP7,Disease,Gene
Disease::DOID:332,Disease - upregulates - Gene,Gene::81328,amyotrophic lateral sclerosis,OR4A15,Disease,Gene
Disease::DOID:418,Disease - upregulates - Gene,Gene::4026,systemic scleroderma,LPP,Disease,Gene
Disease::DOID:219,Disease - upregulates - Gene,Gene::10134,colon cancer,BCAP31,Disease,Gene
Disease::DOID:0050156,Disease - upregulates - Gene,Gene::90,idiopathic pulmonary fibrosis,ACVR1,Disease,Gene
Disease::DOID:10652,Disease - upregulates - Gene,Gene::57007,Alzheimer's disease,ACKR3,Disease,Gene
Disease::DOID:3083,Disease - upregulates - Gene,Gene::643669,chronic obstructive pulmonary disease,CCER2,Disease,Gene
Disease::DOID:13223,Disease - upregulates - Gene,Gene::3706,uterine fibroid,ITPKA,Disease,Gene
Disease::DOID:7148,Disease - upregulates - Gene,Gene::29851,rheumatoid arthritis,ICOS,Disease,Gene
Disease::DOID:5419,Disease - upregulates - Gene,Gene::55288,schizophrenia,RHOT1,Disease,Gene
Disease::DOID:7148,Disease - upregulates - Gene,Gene::9466,rheumatoid arthritis,IL27RA,Disease,Gene
Disease::DOID:10652,Disease - upregulates - Gene,Gene::1942,Alzheimer's disease,EFNA1,Disease,Gene
Disease::DOID:986,Disease - upregulates - Gene,Gene::8867,alopecia areata,SYNJ1,Disease,Gene
Disease::DOID:1324,Disease - upregulates - Gene,Gene::282973,lung cancer,JAKMIP3,Disease,Gene
Disease::DOID:14330,Disease - upregulates - Gene,Gene::23114,Parkinson's disease,NFASC,Disease,Gene
Disease::DOID:219,Disease - upregulates - Gene,Gene::6223,colon cancer,RPS19,Disease,Gene
Disease::DOID:986,Disease - upregulates - Gene,Gene::9804,alopecia areata,TOMM20,Disease,Gene
Disease::DOID:14227,Disease - upregulates - Gene,Gene::50839,azoospermia,TAS2R10,Disease,Gene
Disease::DOID:8577,Disease - upregulates - Gene,Gene::4067,ulcerative colitis,LYN,Disease,Gene
Disease::DOID:10652,Disease - upregulates - Gene,Gene::89845,Alzheimer's disease,ABCC10,Disease,Gene
Disease::DOID:8577,Disease - upregulates - Gene,Gene::1284,ulcerative colitis,COL4A2,Disease,Gene
Disease::DOID:8577,Disease - upregulates - Gene,Gene::3455,ulcerative colitis,IFNAR2,Disease,Gene
Disease::DOID:1324,Disease - upregulates - Gene,Gene::8976,lung cancer,WASL,Disease,Gene
Disease::DOID:3393,Disease - upregulates - Gene,Gene::123016,coronary artery disease,TTC8,Disease,Gene
Disease::DOID:13223,Disease - upregulates - Gene,Gene::80352,uterine fibroid,RNF39,Disease,Gene
Disease::DOID:10652,Disease - upregulates - Gene,Gene::10462,Alzheimer's disease,CLEC10A,Disease,Gene
Disease::DOID:9206,Disease - upregulates - Gene,Gene::1356,Barrett's esophagus,CP,Disease,Gene
Disease::DOID:986,Disease - upregulates - Gene,Gene::3659,alopecia areata,IRF1,Disease,Gene
Disease::DOID:1324,Disease - upregulates - Gene,Gene::64207,lung cancer,IRF2BPL,Disease,Gene
Disease::DOID:1909,Disease - upregulates - Gene,Gene::643355,melanoma,LOC643355,Disease,Gene
Disease::DOID:8778,Disease - upregulates - Gene,Gene::1089,Crohn's disease,CEACAM4,Disease,Gene
Disease::DOID:14330,Disease - upregulates - Gene,Gene::6749,Parkinson's disease,SSRP1,Disease,Gene
Disease::DOID:13223,Disease - upregulates - Gene,Gene::1021,uterine fibroid,CDK6,Disease,Gene
Disease::DOID:10652,Disease - upregulates - Gene,Gene::55108,Alzheimer's disease,BSDC1,Disease,Gene
Disease::DOID:2531,Disease - upregulates - Gene,Gene::10654,hematologic cancer,PMVK,Disease,Gene
Disease::DOID:8577,Disease - upregulates - Gene,Gene::25907,ulcerative colitis,TMEM158,Disease,Gene
Disease::DOID:1909,Disease - upregulates - Gene,Gene::4323,melanoma,MMP14,Disease,Gene
Disease::DOID:2986,Disease - upregulates - Gene,Gene::7248,IgA glomerulonephritis,TSC1,Disease,Gene
Disease::DOID:14227,Disease - upregulates - Gene,Gene::9839,azoospermia,ZEB2,Disease,Gene
Disease::DOID:11612,Disease - upregulates - Gene,Gene::653192,polycystic ovary syndrome,TRIM43B,Disease,Gene
Disease::DOID:1612,Disease - upregulates - Gene,Gene::9768,breast cancer,KIAA0101,Disease,Gene
Disease::DOID:0050742,Disease - upregulates - Gene,Gene::28969,nicotine dependence,BZW2,Disease,Gene
Disease::DOID:1612,Disease - upregulates - Gene,Gene::259266,breast cancer,ASPM,Disease,Gene
Disease::DOID:13223,Disease - upregulates - Gene,Gene::57418,uterine fibroid,WDR18,Disease,Gene
Disease::DOID:10652,Disease - upregulates - Gene,Gene::11083,Alzheimer's disease,DIDO1,Disease,Gene
Disease::DOID:219,Disease - upregulates - Gene,Gene::23658,colon cancer,LSM5,Disease,Gene
Disease::DOID:3393,Disease - upregulates - Gene,Gene::85403,coronary artery disease,EAF1,Disease,Gene
Disease::DOID:635,Disease - upregulates - Gene,Gene::8519,acquired immunodeficiency syndrome,IFITM1,Disease,Gene
Disease::DOID:14330,Disease - upregulates - Gene,Gene::54813,Parkinson's disease,KLHL28,Disease,Gene
Disease::DOID:3083,Disease - upregulates - Gene,Gene::144195,chronic obstructive pulmonary disease,SLC2A14,Disease,Gene
Disease::DOID:3083,Disease - upregulates - Gene,Gene::1545,chronic obstructive pulmonary disease,CYP1B1,Disease,Gene
Disease::DOID:10652,Disease - upregulates - Gene,Gene::50619,Alzheimer's disease,DEF6,Disease,Gene
Disease::DOID:8893,Disease - upregulates - Gene,Gene::3002,psoriasis,GZMB,Disease,Gene
Disease::DOID:8577,Disease - upregulates - Gene,Gene::9261,ulcerative colitis,MAPKAPK2,Disease,Gene
Disease::DOID:14227,Disease - upregulates - Gene,Gene::962,azoospermia,CD48,Disease,Gene
Disease::DOID:12365,Disease - upregulates - Gene,Gene::7752,malaria,ZNF200,Disease,Gene
Disease::DOID:2986,Disease - upregulates - Gene,Gene::754,IgA glomerulonephritis,PTTG1IP,Disease,Gene
Disease::DOID:1324,Disease - upregulates - Gene,Gene::220001,lung cancer,VWCE,Disease,Gene
Disease::DOID:9206,Disease - upregulates - Gene,Gene::56889,Barrett's esophagus,TM9SF3,Disease,Gene
Disease::DOID:7148,Disease - upregulates - Gene,Gene::51280,rheumatoid arthritis,GOLM1,Disease,Gene
Disease::DOID:418,Disease - upregulates - Gene,Gene::131408,systemic scleroderma,FAM131A,Disease,Gene
Disease::DOID:3083,Disease - upregulates - Gene,Gene::211,chronic obstructive pulmonary disease,ALAS1,Disease,Gene
Disease::DOID:2986,Disease - upregulates - Gene,Gene::10160,IgA glomerulonephritis,FARP1,Disease,Gene
Disease::DOID:2531,Disease - upregulates - Gene,Gene::1020,hematologic cancer,CDK5,Disease,Gene
Disease::DOID:9206,Disease - upregulates - Gene,Gene::55366,Barrett's esophagus,LGR4,Disease,Gene
Disease::DOID:263,Disease - upregulates - Gene,Gene::397,kidney cancer,ARHGDIB,Disease,Gene
Disease::DOID:1909,Disease - upregulates - Gene,Gene::3430,melanoma,IFI35,Disease,Gene
Disease::DOID:2986,Disease - upregulates - Gene,Gene::9601,IgA glomerulonephritis,PDIA4,Disease,Gene
Disease::DOID:7693,Disease - upregulates - Gene,Gene::11025,abdominal aortic aneurysm,LILRB3,Disease,Gene
Disease::DOID:5419,Disease - upregulates - Gene,Gene::8500,schizophrenia,PPFIA1,Disease,Gene
Disease::DOID:1324,Disease - upregulates - Gene,Gene::128989,lung cancer,TANGO2,Disease,Gene
Disease::DOID:2986,Disease - upregulates - Gene,Gene::6597,IgA glomerulonephritis,SMARCA4,Disease,Gene
Disease::DOID:2531,Disease - upregulates - Gene,Gene::143570,hematologic cancer,XRRA1,Disease,Gene
Disease::DOID:8893,Disease - upregulates - Gene,Gene::55388,psoriasis,MCM10,Disease,Gene
Disease::DOID:2531,Disease - upregulates - Gene,Gene::9777,hematologic cancer,TM9SF4,Disease,Gene
Disease::DOID:8778,Disease - upregulates - Gene,Gene::7353,Crohn's disease,UFD1L,Disease,Gene
Disease::DOID:263,Disease - upregulates - Gene,Gene::27106,kidney cancer,ARRDC2,Disease,Gene
Disease::DOID:12365,Disease - upregulates - Gene,Gene::55281,malaria,TMEM140,Disease,Gene
Disease::DOID:1612,Disease - upregulates - Gene,Gene::64768,breast cancer,IPPK,Disease,Gene
Disease::DOID:5419,Disease - upregulates - Gene,Gene::2548,schizophrenia,GAA,Disease,Gene
Disease::DOID:1909,Disease - upregulates - Gene,Gene::90637,melanoma,ZFAND2A,Disease,Gene
Disease::DOID:12365,Disease - upregulates - Gene,Gene::11054,malaria,OGFR,Disease,Gene
Disease::DOID:332,Disease - upregulates - Gene,Gene::12,amyotrophic lateral sclerosis,SERPINA3,Disease,Gene
Disease::DOID:11612,Disease - upregulates - Gene,Gene::23303,polycystic ovary syndrome,KIF13B,Disease,Gene
Disease::DOID:12365,Disease - upregulates - Gene,Gene::23558,malaria,WBP2,Disease,Gene
Disease::DOID:3083,Disease - upregulates - Gene,Gene::54886,chronic obstructive pulmonary disease,LPPR1,Disease,Gene
Disease::DOID:986,Disease - upregulates - Gene,Gene::57674,alopecia areata,RNF213,Disease,Gene
Disease::DOID:1909,Disease - upregulates - Gene,Gene::9489,melanoma,PGS1,Disease,Gene
Disease::DOID:8778,Disease - upregulates - Gene,Gene::5329,Crohn's disease,PLAUR,Disease,Gene
Disease::DOID:635,Disease - upregulates - Gene,Gene::4495,acquired immunodeficiency syndrome,MT1G,Disease,Gene
Disease::DOID:7693,Disease - upregulates - Gene,Gene::4354,abdominal aortic aneurysm,MPP1,Disease,Gene
Disease::DOID:1793,Disease - upregulates - Gene,Gene::3068,pancreatic cancer,HDGF,Disease,Gene
Disease::DOID:2394,Disease - upregulates - Gene,Gene::8878,ovarian cancer,SQSTM1,Disease,Gene
Disease::DOID:3083,Disease - upregulates - Gene,Gene::92689,chronic obstructive pulmonary disease,FAM114A1,Disease,Gene
Disease::DOID:2531,Disease - upregulates - Gene,Gene::56892,hematologic cancer,C8orf4,Disease,Gene
Disease::DOID:14330,Disease - upregulates - Gene,Gene::51478,Parkinson's disease,HSD17B7,Disease,Gene
Disease::DOID:3083,Disease - upregulates - Gene,Gene::391059,chronic obstructive pulmonary disease,FRRS1,Disease,Gene
Disease::DOID:10652,Disease - upregulates - Gene,Gene::205,Alzheimer's disease,AK4,Disease,Gene
Disease::DOID:14227,Disease - upregulates - Gene,Gene::138881,azoospermia,OR1L8,Disease,Gene
Disease::DOID:14227,Disease - upregulates - Gene,Gene::3118,azoospermia,HLA-DQA2,Disease,Gene
Disease::DOID:9206,Disease - upregulates - Gene,Gene::8399,Barrett's esophagus,PLA2G10,Disease,Gene
Disease::DOID:12365,Disease - upregulates - Gene,Gene::84419,malaria,C15orf48,Disease,Gene
Disease::DOID:13223,Disease - upregulates - Gene,Gene::5150,uterine fibroid,PDE7A,Disease,Gene
Disease::DOID:10652,Disease - upregulates - Gene,Gene::1435,Alzheimer's disease,CSF1,Disease,Gene
Disease::DOID:263,Disease - upregulates - Gene,Gene::144402,kidney cancer,CPNE8,Disease,Gene
Disease::DOID:3083,Disease - upregulates - Gene,Gene::4199,chronic obstructive pulmonary disease,ME1,Disease,Gene
Disease::DOID:1909,Disease - upregulates - Gene,Gene::860,melanoma,RUNX2,Disease,Gene
Disease::DOID:8577,Disease - upregulates - Gene,Gene::6503,ulcerative colitis,SLA,Disease,Gene
Disease::DOID:9206,Disease - upregulates - Gene,Gene::79814,Barrett's esophagus,AGMAT,Disease,Gene
Disease::DOID:0050742,Disease - upregulates - Gene,Gene::10783,nicotine dependence,NEK6,Disease,Gene
Disease::DOID:8778,Disease - upregulates - Gene,Gene::8301,Crohn's disease,PICALM,Disease,Gene
Disease::DOID:986,Disease - upregulates - Gene,Gene::153,alopecia areata,ADRB1,Disease,Gene
Disease::DOID:2986,Disease - upregulates - Gene,Gene::100133941,IgA glomerulonephritis,CD24,Disease,Gene
Disease::DOID:7693,Disease - upregulates - Gene,Gene::5336,abdominal aortic aneurysm,PLCG2,Disease,Gene
Disease::DOID:0050742,Disease - upregulates - Gene,Gene::57037,nicotine dependence,ANKMY2,Disease,Gene
Disease::DOID:12365,Disease - upregulates - Gene,Gene::7167,malaria,TPI1,Disease,Gene
Disease::DOID:8577,Disease - upregulates - Gene,Gene::1277,ulcerative colitis,COL1A1,Disease,Gene
Disease::DOID:418,Disease - upregulates - Gene,Gene::9851,systemic scleroderma,KIAA0753,Disease,Gene
Disease::DOID:10652,Disease - upregulates - Gene,Gene::5610,Alzheimer's disease,EIF2AK2,Disease,Gene
Disease::DOID:0050156,Disease - upregulates - Gene,Gene::5058,idiopathic pulmonary fibrosis,PAK1,Disease,Gene
Disease::DOID:1793,Disease - upregulates - Gene,Gene::306,pancreatic cancer,ANXA3,Disease,Gene
Disease::DOID:14227,Disease - upregulates - Gene,Gene::92105,azoospermia,INTS4,Disease,Gene
Disease::DOID:14330,Disease - upregulates - Gene,Gene::9704,Parkinson's disease,DHX34,Disease,Gene
Disease::DOID:9970,Disease - upregulates - Gene,Gene::22919,obesity,MAPRE1,Disease,Gene
Disease::DOID:9008,Disease - upregulates - Gene,Gene::9570,psoriatic arthritis,GOSR2,Disease,Gene
Disease::DOID:1909,Disease - upregulates - Gene,Gene::9672,melanoma,SDC3,Disease,Gene
Disease::DOID:418,Disease - upregulates - Gene,Gene::23258,systemic scleroderma,DENND5A,Disease,Gene
Disease::DOID:0050156,Disease - upregulates - Gene,Gene::8572,idiopathic pulmonary fibrosis,PDLIM4,Disease,Gene
Disease::DOID:418,Disease - upregulates - Gene,Gene::56907,systemic scleroderma,SPIRE1,Disease,Gene
Disease::DOID:9206,Disease - upregulates - Gene,Gene::10551,Barrett's esophagus,AGR2,Disease,Gene
Disease::DOID:263,Disease - upregulates - Gene,Gene::55165,kidney cancer,CEP55,Disease,Gene
Disease::DOID:8778,Disease - upregulates - Gene,Gene::586,Crohn's disease,BCAT1,Disease,Gene
Disease::DOID:8893,Disease - upregulates - Gene,Gene::3163,psoriasis,HMOX2,Disease,Gene
Disease::DOID:418,Disease - upregulates - Gene,Gene::1827,systemic scleroderma,RCAN1,Disease,Gene
Disease::DOID:9206,Disease - upregulates - Gene,Gene::90410,Barrett's esophagus,IFT20,Disease,Gene
Disease::DOID:8778,Disease - upregulates - Gene,Gene::92292,Crohn's disease,GLYATL1,Disease,Gene
Disease::DOID:1612,Disease - upregulates - Gene,Gene::8317,breast cancer,CDC7,Disease,Gene
Disease::DOID:1793,Disease - upregulates - Gene,Gene::10112,pancreatic cancer,KIF20A,Disease,Gene
Disease::DOID:9206,Disease - upregulates - Gene,Gene::25825,Barrett's esophagus,BACE2,Disease,Gene
Disease::DOID:5419,Disease - upregulates - Gene,Gene::64784,schizophrenia,CRTC3,Disease,Gene
